hour,mae_base,mae_corr,bias_corr
1,0.0332032435129741,0.0317206009409209,0.000532030742127227
2,0.0334676896207585,0.0322563501109169,0.000671087586823287
3,0.0306713572854291,0.02976707326869,0.00111885774419435
4,0.0306689745508982,0.0292124024603517,0.00138282197164071
5,0.0313481536926148,0.0306234481372348,0.0011787736031674
6,0.0310972679640719,0.0305637068342964,0.00134161696693659
7,0.0360781936127744,0.0315615541780819,0.00100349988736729
8,0.0436451347305389,0.034014983110452,0.00224292785441556
9,0.0494296032934132,0.039397378943998,0.00325910856796477
10,0.057060503992016,0.0468632040160906,0.00332599532130671
11,0.0957820858283434,0.0774887336195973,0.0122179036423328
12,0.0625379366267465,0.0532302287239052,0.00345912131150621
13,0.0635713323353293,0.0553938502464085,0.00332236633382418
14,0.0613075099800399,0.0545091136705877,0.00366199439103986
15,0.0948766966067864,0.0783993563437636,0.0118210336713095
16,0.0493927020958084,0.043466904260238,0.00230005309120782
17,0.0443027694610778,0.0389064603016082,0.00177020101209436
18,0.0351879491017964,0.032789667078149,0.000914603919389669
19,0.0345629116766467,0.0322587316982988,0.000818693972759056
20,0.0772429141716568,0.0700234322945265,0.00954562201374867
21,0.0758954840319362,0.0701834891766873,0.00917759994442643
22,0.0344324101796407,0.0315897738067768,0.000463158143727834
23,0.0334427395209581,0.0312730325022836,0.000322349678612772
24,0.0335375623752495,0.0315526090944684,0.000103979619585078
