date_str,day_idx,slot,buy_kwh,em_kwh,load_kw,pv_kw
2025-03-20,79,1,589.777091666667,0,3410.51,0
2025-03-20,79,2,742.65198449793,0,3299.0689,0
2025-03-20,79,3,1430.43229166667,0,3421.881,0
2025-03-20,79,4,581.073341666667,0,3683.11,0
2025-03-20,79,5,617.953141666667,0,3476.737,0
2025-03-20,79,6,608.638875,0,3302.6695,0
2025-03-20,79,7,559.254095381944,0,3426.94,0
2025-03-20,79,8,588.421587048611,0,3609.5343,0
2025-03-20,79,9,595.917807881945,0,3668.9025,0
2025-03-20,79,10,572.908678715278,0,3589.3,0
2025-03-20,79,11,608.325316215278,0,3503.6157,0
2025-03-20,79,12,627.689903715278,0,3545.9703,0
2025-03-20,79,13,593.602588159722,0,3590.66,0
2025-03-20,79,14,569.821421493055,0,3395.9017,0
2025-03-20,79,15,546.402700659722,0,3276.7246,0
2025-03-20,79,16,542.388838159722,0,3394.28,0
2025-03-20,79,17,584.333396493056,0,3587.5594,0
2025-03-20,79,18,598.499033993055,0,3605.7268,0
2025-03-20,79,19,559.041854930556,0,3522.79,0
2025-03-20,79,20,534.934463263889,0,3631.2618,0
2025-03-20,79,21,553.373125763889,0,3731.3543,0
2025-03-20,79,22,597.569354930555,0,3721.01,0
2025-03-20,79,23,616.261392430556,0,3699.7385,0
2025-03-20,79,24,598.582717430556,0,3674.7825,0
2025-03-20,79,25,572.576855381944,0,3623.58,0
2025-03-20,79,26,576.498151215278,0,3538.7697,0.0019
2025-03-20,79,27,553.453772048611,0,3488.7843,0
2025-03-20,79,28,513.285188715278,0,3513.51,0
2025-03-20,79,29,529.196372048611,0,3598.3779,0.0271
2025-03-20,79,30,574.161597048611,0,3700.4359,0
2025-03-20,79,31,593.610155292659,0,3753.57,0
2025-03-20,79,32,561.099930292659,0,3716.9811,0.3776
2025-03-20,79,33,571.719796959325,0,3707.0664,0
2025-03-20,79,34,597.728071959325,0,3642.69,0
2025-03-20,79,35,1372.52723862599,0,3457.8398,5.2594
2025-03-20,79,36,604.921367792659,0,4028.7787,0
2025-03-20,79,37,0,0,4962.09,0
2025-03-20,79,38,0,0,4905.1198,153.4202
2025-03-20,79,39,-0,0,4660.8239,401.044
2025-03-20,79,40,0,0,4703.75,675.525
2025-03-20,79,41,-0,0,4726.9008,952.6316
2025-03-20,79,42,522.943646894841,0,4819.4733,1302.5378
2025-03-20,79,43,483.499124707341,0,4880.33,1693.2375
2025-03-20,79,44,478.368920540674,0,4689.3761,2009.9231
2025-03-20,79,45,465.114470540675,0,4713.3646,2305.9149
2025-03-20,79,46,397.540895540675,0,4827.2,2609.7375
2025-03-20,79,47,1001.47123538353,0,4578.156,2894.0148
2025-03-20,79,48,-0,0,5187.0368,3179.5684
2025-03-20,79,49,0,0,6405.59,3476.5125
