hour,em_nocorr_wankwh,em_corr_wankwh,corr_pct,nocorr_pct
0,3.205485105,0,0,2.35056483217745
1,3.11931968,0.0113056656791666,0.0123702938786147,2.2873801936219
2,3.00304089458333,0.147384521320833,0.161263378348197,2.20211359129004
3,2.84348154375,0.241569792275,0.264317856855108,2.08510958521032
4,2.79012733208333,0.213092425416667,0.233158842700298,2.04598523133433
5,2.8876107725,0.183017381041667,0.200251701459009,2.11746930917505
6,4.80711976166667,1.5720549346875,1.7200916856445,3.52503483426385
7,7.27376732583333,2.733684459175,2.99110915633316,5.33381410722395
8,7.53750682370885,9.36113335381141,10.2426494741428,5.52721284977163
9,8.32643443208333,12.4753124833625,13.650083597565,6.10572918369137
10,9.25066369541667,4.65185039346429,5.08990430811544,6.78346148694617
11,11.4061316275,0.0529204466666667,0.0579038418463548,8.36405442438905
12,11.707058165,0,0,8.58472222128914
13,9.38575335833333,0,0,6.88252200366713
14,8.31028390291667,0,0,6.0938860882981
15,7.47935172791667,0.347278374085493,0.379980769557104,5.48456803361954
16,7.05679094458333,0.695934494716667,0.76146902484251,5.17470650432671
17,4.77663382666667,0.650359727083333,0.711602587511641,3.50267966356745
18,3.49116637,1.70651735058344,1.86721611400314,2.56005335348536
19,3.55669529375,17.0764437839733,18.6844927140076,2.60810535766311
20,3.6706986875,36.2782512392469,39.694489645017,2.69170342763375
21,3.58590826375,2.9459016315,3.22331032539713,2.62952707003306
22,3.52319371125,0.00471666783750002,0.00516082545985797,2.58353882902008
23,3.37662094958333,0.0449417933333333,0.0491738573156077,2.47605781830149
