date,buy_kwh,em_kwh,cost_yuan,em_cost_yuan,Eend_mean
2025-02-01,46721.6183666667,92.5366125000001,24629.7620633287,390.622027247917,7104.0214203932
2025-02-02,94308.543073714,65.0921708333333,60401.4282464286,295.758759095833,7859.2692258552
2025-02-03,92522.1512548354,72.2147124999996,59016.1559478808,287.622548306247,7860.09391460905
2025-02-04,92781.7865666667,172.844841666667,59507.9549838613,545.4467820375,7866.97475578704
2025-02-05,92196.4690833333,159.8980125,59129.3212176266,614.63585640625,7864.19385603138
2025-02-06,93223.4875048868,84.1150083333333,59710.518158818,376.992359102083,7848.63245531121
2025-02-07,45761.0220125,123.394004166667,24161.0314102838,650.55889574375,7115.3025645126
2025-02-08,44048.3600064583,101.873391666667,23331.0323277714,617.592678816668,7102.18319962995
2025-02-09,91115.9941980967,240.462354166667,58407.2387971736,724.995840145833,7864.09431214635
2025-02-10,89849.3438597222,82.4825916666667,57145.5449728008,433.367087322916,7891.44176379244
2025-02-11,89938.1258706276,72.4821499999998,57287.498928403,418.524169224999,7875.36788866384
2025-02-12,89958.5027237654,108.687920833334,57359.8734196032,583.361764266667,7882.10131452546
2025-02-13,90446.3910744342,81.2206500000003,57676.8547816048,458.372848616669,7874.73119749871
2025-02-14,42336.1285833333,158.565920833334,22338.8261763837,690.889809229169,7003.33091975823
2025-02-15,40715.6337824589,248.071008333334,22094.1850764493,1186.35462620417,7066.39619613522
2025-02-16,88208.3017148662,280.017204166667,56771.5850664938,1268.23364185833,7893.21186747685
2025-02-17,86294.4195655864,204.663379166666,55160.5416345464,1065.4200576125,7834.35991634516
2025-02-18,86348.4476826646,144.976408333334,55032.3086288417,793.012427870835,7894.1486401749
2025-02-19,86164.7514618312,433.443879166667,55589.76760957,1615.12739065833,7875.99331880144
2025-02-20,85299.6171630144,207.133333333333,54509.0751728646,976.973383537499,7839.03668751671
2025-02-21,38954.4541833333,434.250633333333,21767.2355844187,1827.45535078542,6723.56311578768
2025-02-22,38319.0411144033,422.408608333333,21422.6272365019,1780.712905925,6603.86385089924
2025-02-23,84750.6183481996,517.434025,54857.3221231969,1946.028042175,7844.25537917953
2025-02-24,81886.497191625,302.952458333334,52268.1240682327,1408.34704071459,7814.3089911783
2025-02-25,83438.9980416667,422.504870833333,53711.9199976229,1693.59266245625,7789.90278157408
2025-02-26,82008.4035398148,298.288170833333,52372.4267798327,1357.32738648542,7833.1721021785
2025-02-27,80487.8780150834,173.921920833333,51036.0298477323,965.362358066666,7729.18070930363
2025-02-28,36703.1694268518,392.852666666668,20366.5380095199,1646.23326658334,6482.15203450907
2025-03-01,36450.0062329732,512.828408333334,20713.8795297901,2094.21083905417,6343.92429989519
2025-03-02,80606.6380152083,2348.22234583333,60147.867447121,10256.6651831917,7779.76080579186
2025-03-03,77844.4629639403,2064.6318625,56563.8189343692,8609.16999430833,7593.72432002733
2025-03-04,78035.9692409465,849.830337499999,50693.1023323033,2520.80816718958,7618.66908274627
2025-03-05,78851.2060313272,384.707191666666,50534.1581642087,1797.8016006125,7669.72841087223
2025-03-06,76037.2608187243,480.909729166666,49107.1288950678,2049.97009036666,7618.20494523373
2025-03-07,34399.4630167181,888.835483333333,21045.6801501589,3518.29342030833,6192.50288492252
2025-03-08,35657.8699541667,281.537283333334,19069.1267614704,943.126546835418,6160.91139545814
2025-03-09,79094.3388853334,326.018208333334,50347.761687707,1585.52883140209,7763.90695268132
2025-03-10,75785.0502233025,1786.70465,52243.6026746407,5728.42221565417,7567.39377428723
2025-03-11,74952.023235288,479.982129166665,47788.8829195268,1857.10184572916,7551.15766351531
2025-03-12,75156.1239555555,517.250225,47898.3631171851,1779.84509370208,7526.92736467111
2025-03-13,71531.561902572,3708.9073125,56922.058037593,12798.3053412979,7467.80313421907
2025-03-14,32969.7287613683,381.587166666667,18319.304807146,1571.37164972708,6021.7862557581
2025-03-15,35095.4653833333,1279.07415416667,22072.6606053437,4366.0913566625,6032.57319400528
2025-03-16,75027.7257915638,455.9145125,47375.0402743195,1507.5628993375,7567.10598809864
2025-03-17,74175.0488545267,285.14725,46664.1591012647,1405.78768043125,7546.50129815265
2025-03-18,72021.5325853909,419.64985,45433.3052261618,1589.48081062917,7488.20541592818
2025-03-19,71774.0430322531,208.1389375,44447.3644652946,716.003257499999,7497.58237018711
2025-03-20,69727.7115963477,576.874275,45349.5646574078,2379.5838451625,7443.46399811825
2025-03-21,31673.0403082305,581.063466666666,18458.4881115851,2438.92869901042,5860.6049131983
2025-03-22,34533.3847541667,261.918575,18144.5003475375,858.232171697917,5831.49559163002
2025-03-23,71912.2639677469,521.206045833334,45756.2953193793,2080.23355629792,7480.76153672036
2025-03-24,70659.2537899691,387.717291666667,44077.2645351338,1178.83127745417,7496.8893942091
2025-03-25,69160.9693312243,1319.86508333333,47061.4429501518,5106.36567839376,7472.1409437201
2025-03-26,68312.2805179527,366.088008333333,42628.0905032504,1250.01743380625,7459.30299517876
2025-03-27,66632.7951847222,593.735970833333,42834.4922847322,1737.78991619375,7399.33390278067
2025-03-28,30405.0887473251,493.7498375,17123.0500737708,1815.82739063125,5628.00385781539
2025-03-29,33893.0279208333,419.0971125,18408.6197226058,1584.70180865625,5785.71032763664
2025-03-30,68562.7356275206,665.759258333333,43363.9307747673,2003.96116047292,7459.22623129694
2025-03-31,68087.2427995885,586.692049999999,43308.2963062917,2219.37885997708,7454.58682186085
2025-04-01,67922.4909258745,1942.9346625,47013.4396245455,6021.59376492292,7448.92621260706
2025-04-02,64962.6582364197,3596.0834875,52447.0351050887,13268.8226347938,7409.3976923206
2025-04-03,63960.7387408436,681.366495833333,41544.6840936491,2336.46882800416,7305.23238602881
2025-04-04,29293.2510781893,556.135729166667,16426.7118737275,1775.93840135833,5411.82687300476
2025-04-05,33615.4115916667,861.3241375,19100.1910166671,2560.34989852083,5548.19958311729
2025-04-06,64258.0948636831,488.0389375,40386.0285751496,1856.63048822292,7352.29679237751
2025-04-07,64300.4080757202,582.040958333333,40133.6453891832,1680.14130221667,7352.62120784079
2025-04-08,65647.4967679527,578.695862499999,41450.7611848017,2186.328205975,7363.75074754308
2025-04-09,63529.0396870885,2631.081,47008.2162245276,8933.59062415834,7363.43851593204
2025-04-10,61008.0747266975,638.487866666666,39502.9534666586,2201.19459678125,7253.62988664866
2025-04-11,28377.4323325103,882.549604166667,16980.7690535227,2923.264128275,5284.09726191101
2025-04-12,33308.3924083333,615.9973125,17909.6820222446,1659.37083434792,5528.07979293081
2025-04-13,62024.1981197017,753.217545833333,39835.5534913752,2864.15712259792,7295.93417565522
2025-04-14,60585.7728651749,1488.36449583333,41514.2605494229,5456.01097364167,7316.67548632137
2025-04-15,63220.2674868827,758.615670833334,41101.5284911051,3352.85188232917,7307.91080336034
2025-04-16,62720.1011988169,1265.78024166667,41532.2808466912,4231.73620009583,7357.65089547614
2025-04-17,57311.1296733025,489.214770833333,36783.6769341794,1658.9512644625,7173.4945604665
2025-04-18,27510.4138718107,1263.71025,16987.8859785668,3479.6469697625,5158.81983327417
2025-04-19,32827.5109708333,536.966104166667,17650.4525485387,1810.23928429375,5179.1811471486
2025-04-20,59765.4978083333,947.202008333333,39178.8967979817,3699.20995196042,7237.80955912584
2025-04-21,59228.7325369342,1177.5952625,39003.1620256413,3998.19048918333,7304.20388774595
2025-04-22,60474.1530467078,1034.48284166667,39286.8102997076,3373.86451862916,7256.66722516236
2025-04-23,61788.0466416667,710.037366666667,38585.594902655,2167.49146668125,7322.35407418532
2025-04-24,54501.5610342078,808.613724999999,35796.5699807917,2467.84519961667,7109.81170641911
2025-04-25,26719.9411898148,811.28955,16013.5893465306,3049.16443493333,5018.15662088831
2025-04-26,32385.353425,654.095116666666,17808.107944115,2377.39450415833,5324.04520790059
2025-04-27,58053.2485833333,553.439758333334,36128.661314045,1827.78121797292,7254.23750085262
2025-04-28,56763.4681956106,5899.3987375,54921.8617319724,21427.8138266667,7301.87371644097
2025-04-29,58099.7627215021,464.576725,36257.7929475908,1816.16631499167,7390.37563154642
2025-04-30,60752.8861971193,444.428758333334,37168.2461709765,1714.09273368334,7312.89309902714
