date,slot,period,price,buy_kwh,em_kwh,pv_load_kwh,pv_chg_kwh,chg_kwh,dis_kwh,curt_kwh,E_kwh
2025-02-01,1,00:00-00:10,0.4248,1257.29333333333,0,0,0,833.333333333333,0,0,1950
2025-02-01,2,00:10-00:20,0.4245,1255.3637,0,0,0,833.333333333333,0,0,2700
2025-02-01,3,00:20-00:30,0.4269,1248.74065,0,0,0,833.333333333333,0,0,3450
2025-02-01,4,00:30-00:40,0.4272,1244.05,0,0,0,833.333333333333,0,0,4200
2025-02-01,5,00:40-00:50,0.4271,1263.62813333333,0,0,0,833.333333333333,0,0,4950
2025-02-01,6,00:50-01:00,0.4285,1257.74391666667,0,0,0,833.333333333333,0,0,5700
2025-02-01,7,01:00-01:10,0.4311,406.051666666667,0,0,0,0,0,0,5700
2025-02-01,8,01:10-01:20,0.4302,1270.08351666667,0,0,0,833.333333333333,0,0,6450
2025-02-01,9,01:20-01:30,0.4279,1285.13101666667,0,0,0,833.333333333333,0,0,7200
2025-02-01,10,01:30-01:40,0.4312,446.08,0,0,0,0,0,0,7200
2025-02-01,11,01:40-01:50,0.4333,471.766333333333,0,0,0,0,0,0,7200
2025-02-01,12,01:50-02:00,0.4311,977.740575720163,0,0,0,529.714609053497,0,0,7676.74314814815
2025-02-01,13,02:00-02:10,0.4293,1230.73666666667,0,0,0,833.333333333333,0,0,8426.74314814815
2025-02-01,14,02:10-02:20,0.4324,434.090633333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,15,02:20-02:30,0.4367,490.560916666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,16,02:30-02:40,0.4348,503.22,0,0,0,0,0,0,8426.74314814815
2025-02-01,17,02:40-02:50,0.4335,474.072816666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,18,02:50-03:00,0.4357,461.3844,0,0,0,0,0,0,8426.74314814815
2025-02-01,19,03:00-03:10,0.4374,476.941666666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,20,03:10-03:20,0.4371,483.39955,0,0,0,0,0,0,8426.74314814815
2025-02-01,21,03:20-03:30,0.4356,486.601916666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,22,03:30-03:40,0.4353,498.848333333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,23,03:40-03:50,0.436,518.309733333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,24,03:50-04:00,0.4378,509.133466666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,25,04:00-04:10,0.4401,483.616666666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,26,04:10-04:20,0.4389,491.1868,0,0,0,0,0,0,8426.74314814815
2025-02-01,27,04:20-04:30,0.4364,504.645283333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,28,04:30-04:40,0.4393,505.578333333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,29,04:40-04:50,0.4422,503.230966666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,30,04:50-05:00,0.4395,502.84675,0,0.000233333333333333,0,0,0,0,8426.74314814815
2025-02-01,31,05:00-05:10,0.4333,499.641666666667,0,0,0,0,0,0,8426.74314814815
2025-02-01,32,05:10-05:20,0.4439,488.783583333333,0,0,0,0,0,0,8426.74314814815
2025-02-01,33,05:20-05:30,0.4301,1331.84876666667,0,0.00331666666666667,0,833.333333333333,0,0,9176.74314814815
2025-02-01,34,05:30-05:40,0.3713,1362.55666666667,0,0,0,833.333333333333,0,0,9926.74314814815
2025-02-01,35,05:40-05:50,0.5708,0,0,0,0,0,547.410316666667,0,9318.50946296296
2025-02-01,36,05:50-06:00,0.9099,0,0,0.0462333333333333,0,0,531.181166666667,0,8728.30816666667
2025-02-01,37,06:00-06:10,0.9368,0,0,0,0,0,510.983333333333,0,8160.54890740741
2025-02-01,38,06:10-06:20,0.8758,0,0,0,0,0,535.187183333333,0,7565.89648148148
2025-02-01,39,06:20-06:30,0.8759,0,0,0.644016666666667,0,0,533.355333333333,0,6973.27944444444
2025-02-01,40,06:30-06:40,0.8601,0,0,0,0,0,504.52,0,6412.70166666667
2025-02-01,41,06:40-06:50,0.8442,0,0,0,0,0,519.553683333333,0,5835.4197962963
2025-02-01,42,06:50-07:00,0.8334,0,0,14.9349166666667,0,0,551.480083333333,0,5222.66414814815
2025-02-01,43,07:00-07:10,0.8092,0,0,56.75,0,0,552.041666666667,0,4609.28451851852
2025-02-01,44,07:10-07:20,0.7972,0,0,102.656,0,0,514.55805,0,4037.55335185185
2025-02-01,45,07:20-07:30,0.7644,0,0,147.487916666667,0,0,447.90855,0,3539.87718518519
2025-02-01,46,07:30-07:40,0.6899,0,0,190.1125,0,0,389.424166666667,0,3107.18366666667
2025-02-01,47,07:40-07:50,0.86,0,0,231.346616666667,0,0,377.65375,0,2687.56838888889
2025-02-01,48,07:50-08:00,1.1617,0,0,279.075333333333,0,0,361.16135,0,2286.278
2025-02-01,49,08:00-08:10,1.1683,0,0,334.01875,0,0,299.922916666667,0,1953.03031481481
2025-02-01,50,08:10-08:20,1.0956,0,0,388.684416666667,0,0,202.226233333333,0,1728.3345
2025-02-01,51,08:20-08:30,1.0849,0,0,438.765566666667,0,0,129.7926,0,1584.1205
2025-02-01,52,08:30-08:40,1.061,0,0,487.94375,0,0,86.2845833333333,0,1488.24874074074
2025-02-01,53,08:40-08:50,1.043,0,0,541.883166666667,0,0,35.9691499999999,0,1448.28301851852
2025-02-01,54,08:50-09:00,1.036,0,0,586.6261,0,0,62.4539333333332,0,1378.88975925926
2025-02-01,55,09:00-09:10,1.0147,0,0,621.95,0,0,115.176666666667,0,1250.91568518519
2025-02-01,56,09:10-09:20,0.9922,0,0,665.4293,0,0,45.8241166666666,0,1200
2025-02-01,57,09:20-09:30,0.97,0,0,698.3617,31.3605000000001,31.3605000000001,0,0,1228.22445
2025-02-01,58,09:30-09:40,0.9422,0,0,736.386666666667,61.7008333333333,61.7008333333333,0,0,1283.7552
2025-02-01,59,09:40-09:50,0.9569,0,0,733.212566666667,105.108116666667,105.108116666667,0,0,1378.352505
2025-02-01,60,09:50-10:00,0.9977,0,0,697.122366666667,170.19725,170.19725,0,0,1531.53003
2025-02-01,61,10:00-10:10,0.9919,0,0,678.588333333333,215.430416666667,215.430416666667,0,0,1725.417405
2025-02-01,62,10:10-10:20,0.9588,0,0,711.4322,200.417633333333,200.417633333333,0,0,1905.793275
2025-02-01,63,10:20-10:30,0.9549,0,0,706.70705,226.920183333333,226.920183333333,0,0,2110.02144
2025-02-01,64,10:30-10:40,0.9839,0,0,666.993333333333,292.225416666667,292.225416666667,0,0,2373.024315
2025-02-01,65,10:40-10:50,0.799,0,0,678.720433333333,301.087733333333,301.087733333333,0,0,2644.003275
2025-02-01,66,10:50-11:00,0.5025,0,0,678.1305,343.2174,343.2174,0,0,2952.898935
2025-02-01,67,11:00-11:10,0.4662,0,0,652.925,407.35,407.35,0,0,3319.513935
2025-02-01,68,11:10-11:20,0.5007,0,0,657.69435,388.483466666667,388.483466666667,0,0,3669.149055
2025-02-01,69,11:20-11:30,0.4827,0,0,656.101716666667,395.240066666667,395.240066666667,0,0,4024.865115
2025-02-01,70,11:30-11:40,0.4785,0,0,654.535,444.5275,444.5275,0,0,4424.939865
2025-02-01,71,11:40-11:50,0.4662,0,0,692.20855,444.1071,444.1071,0,0,4824.636255
2025-02-01,72,11:50-12:00,0.4432,0,0,680.149483333333,448.267333333333,448.267333333333,0,0,5228.076855
2025-02-01,73,12:00-12:10,0.4411,0,0,640.033333333333,460.622916666667,460.622916666667,0,0,5642.63748
2025-02-01,74,12:10-12:20,0.4551,0,0,676.841383333333,428.641816666667,428.641816666667,0,0,6028.415115
