slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
1,538.491666666667,538.491666666667,0,0,0,1786.95344092593,1786.95344092593
2,514.663966666667,514.663966666667,0,0,0,1786.95344092593,1786.95344092593
3,533.34865,533.34865,0,0,0,1786.95344092593,1786.95344092593
4,566.91,566.91,0,0,0,1786.95344092593,1786.95344092593
5,510.587683333333,510.587683333333,0,0,0,1786.95344092593,1786.95344092593
6,470.042866666667,470.042866666667,0,0,0,1786.95344092593,1786.95344092593
7,480.563333333333,480.563333333333,0,0,0,1786.95344092593,1786.95344092593
8,478.329933333333,478.329933333333,0,0,0,1786.95344092593,1786.95344092593
9,497.638116666667,497.638116666667,0,0,0,1786.95344092593,1786.95344092593
10,527.363333333333,527.363333333333,0,0,0,1786.95344092593,1786.95344092593
11,510.807616666667,510.807616666667,0,0,0,1786.95344092593,1786.95344092593
12,492.340983333333,492.340983333333,0,0,0,1786.95344092593,1786.95344092593
13,499.103333333333,499.103333333333,0,0,0,1786.95344092593,1786.95344092593
14,512.0669,512.0669,0,0,0,1786.95344092593,1786.95344092593
15,502.183583333333,502.183583333333,0,0,0,1786.95344092593,1786.95344092593
16,473.125,473.125,0,0,0,1786.95344092593,1786.95344092593
17,458.319983333333,458.319983333333,0,0,0,1786.95344092593,1786.95344092593
18,470.09745,470.09745,0,0,0,1786.95344092593,1786.95344092593
19,489.373333333333,489.373333333333,0,0,0,1786.95344092593,1786.95344092593
20,486.504747222222,486.504747222222,0,0,0.193286111111092,1786.73867858025,1786.95344092593
21,491.451827777778,491.451827777778,0,0,0.386972222222236,1786.30870944444,1786.95344092593
22,495.671208333333,495.671208333333,0,0,0.580458333333354,1785.66375574074,1786.95344092593
23,462.609055555555,462.609055555555,0,0,0.771244444444467,1784.80681746914,1786.95344092593
24,453.750219444444,453.750219444444,0,0,0.96743055555559,1783.73189462963,1786.95344092593
25,475.87075,475.87075,0,0,1.16091666666663,1782.44198722222,1786.95344092593
26,449.478886111111,449.478886111111,0,0,24.8030972222223,1754.88299030864,1786.95344092593
27,409.637788888889,409.637788888889,0,0,48.5207111111111,1700.97108907407,1786.95344092593
28,374.017725,374.017725,0,0,72.2006083333333,1620.74819092593,1786.95344092593
29,341.396664277778,341.396664277778,0,0,101.556619055555,1507.90750308642,1786.95344092593
30,330.826347222222,330.826347222222,0,0,119.560402777778,1375.06261111111,1786.95344092593
31,312.146366666667,312.146366666667,0,0,142.0278,1217.25394444444,1786.95344092593
32,0,0,409.130166666667,0,15.5285499999998,1200,1786.95344092593
33,198.280738888889,198.280738888889,192.202711111111,0,0,1200,1786.95344092593
34,157.681841666667,157.681841666667,213.163991666667,0,0,1200,1786.95344092593
35,0,0,359.578,0,0,1200,1786.95344092593
36,0,0,337.034916666667,0,0,1200,1786.95344092593
37,0,5.44741666666664,303.042583333333,0,0,1200,1786.95344092593
38,0,0,291.9625,0,0,1200,1786.95344092593
39,0,0,246.471366666667,0,0,1200,1786.95344092593
40,0,0,166.35125,0,0,1200,1786.95344092593
41,0,0,97.3851833333333,0,0,1200,1786.95344092593
42,0,0,86.2121,0,0,1200,1786.95344092593
43,0,0,100.836666666667,0,0,1200,1786.95344092593
44,0,0,63.2823,0,0,1200,1786.95344092593
45,0,0,21.9276833333333,0,0,1200,1786.95344092593
46,0,0,0,8.33958333333332,0,1207.505625,1786.95344092593
47,0,0,0,62.9667833333334,0,1264.17573,1786.95344092593
48,0,0,0,116.303716666667,0,1368.849075,1786.95344092593
49,0,0,0,156.844166666667,0,1510.008825,1786.95344092593
50,0,0,0,195.452116666667,0,1685.91573,1786.95344092593
51,0,0,0,213.46855,0,1878.037425,1786.95344092593
52,0,0,0,220.185,0,2076.203925,1786.95344092593
53,0,0,0,241.482933333333,0,2293.538565,1786.95344092593
54,0,0,0,229.762933333333,0,2500.325205,1786.95344092593
55,0,0,0,182.575833333333,0,2664.643455,1786.95344092593
