slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
1,1395.545,1395.545,0,833.333333333333,0,1950.00637037037,1200.00637037037
2,1429.35105,1429.35105,0,833.333333333333,0,2700.00637037037,1200.00637037037
3,1422.9785,1422.9785,0,833.333333333333,0,3450.00637037037,1200.00637037037
4,1412.01666666667,1412.01666666667,0,833.333333333333,0,4200.00637037037,1200.00637037037
5,1398.04336666667,1398.04336666667,0,833.333333333333,0,4950.00637037037,1200.00637037037
6,1383.23721666667,1383.23721666667,0,833.333333333333,0,5700.00637037037,1200.00637037037
7,1224.86958847736,1224.86958847736,0,666.659588477364,0,6300,1200.00637037037
8,1443.68185,1443.68185,0,833.333333333333,0,7050,1200.00637037037
9,1466.56928333333,1466.56928333333,0,833.333333333333,0,7800,1200.00637037037
10,622.696666666667,622.696666666667,0,0,0,7800,1200.00637037037
11,637.489266666667,637.489266666667,0,0,0,7800,1200.00637037037
12,1455.70133333333,1455.70133333333,0,833.333333333333,0,8550,1200.00637037037
13,1431.19166666667,1431.19166666667,0,833.333333333333,0,9300,1200.00637037037
14,642.746233333333,642.746233333333,0,0,0,9300,1200.00637037037
15,653.869116666667,653.869116666667,0,0,0,9300,1200.00637037037
16,621.75,621.75,0,0,0,9300,1200.00637037037
17,636.643333333333,636.643333333333,0,0,0,9300,1200.00637037037
18,631.910733333333,631.910733333333,0,0,0,9300,1200.00637037037
19,625.288333333333,625.288333333333,0,0,0,9300,1200.00637037037
20,696.757683333333,696.757683333333,0,0,0,9300,1200.00637037037
21,685.888783333333,685.888783333333,0,0,0,9300,1200.00637037037
22,624.79,624.79,0,0,0,9300,1200.00637037037
23,703.4143,703.4143,0,0,0,9300,1200.00637037037
24,737.32095,737.32095,0,0,0,9300,1200.00637037037
25,679.858333333333,679.858333333333,0,0,0,9300,1200.00637037037
26,673.157066666667,673.157066666667,0,0,0,9300,1200.00637037037
27,680.399233333333,680.399233333333,0,0,0,9300,1200.00637037037
28,677.478333333333,677.478333333333,0,0,0,9300,1200.00637037037
29,686.979733333333,686.979733333333,0,0,0,9300,1200.00637037037
30,680.602566666667,680.602566666667,0,0,0,9300,1200.00637037037
31,672.051666666667,672.051666666667,0,0,0,9300,1200.00637037037
32,702.990366666667,702.990366666667,0,0.000383333333350796,0,9300.000345,1200.00637037037
33,1542.20806666667,1542.20806666667,0,833.333333333333,0,10050.000345,1200.00637037037
34,1511.09666666667,1511.09666666667,0,833.33295,0,10800,1200.00637037037
