模型,变量,系数,标准误,t值,p值
主模型,截距,0.184935154399651,0.0461461823240118,4.00759380486004,6.55808589944771e-05
主模型,孕周,-0.000793587477610828,0.00252472725512466,-0.314326023137753,0.753334596618028
主模型,BMI,-0.00296661867338632,0.00141033929597595,-2.10347870321052,0.0356564870046671
主模型,年龄,-0.00112076015056738,0.000276972739035981,-4.04646375837655,5.57294283564758e-05
主模型,怀孕次数,-9.98206902778248e-05,0.00148821801515931,-0.0670739698491952,0.946535323493344
主模型,生产次数,0.00203670361732732,0.00197167699051415,1.03298036500198,0.301846067118146
主模型,IUI,0.0155559212060245,0.0108818375438967,1.42953073350644,0.153143097254867
主模型,IVF,-0.0159548593012224,0.0116489609658896,-1.36963797440315,0.171086764199826
主模型,质量指标Q,-0.0115423996101036,0.00219953520633434,-5.24765394837201,1.85609849379438e-07
主模型,t×BMI,5.82589029781958e-05,7.74442299776412e-05,0.752269123148562,0.452054374604768
身高体重对照,截距,0.113699570936745,0.0336003749643667,3.38387803878151,0.000740457488792063
身高体重对照,孕周,0.00110645698244199,0.000243073240224685,4.55194895752091,5.92046527991628e-06
身高体重对照,身高,0.000218308227501267,0.000237689549605663,0.918459511002693,0.358584179324844
身高体重对照,体重,-0.000734724186260794,0.000126232182959541,-5.82041892198191,7.73964407460976e-09
身高体重对照,年龄,-0.00104249583922881,0.000266799517170411,-3.90741276552964,9.91127362212657e-05
身高体重对照,质量指标Q,-0.0119873895427471,0.00217945548520811,-5.50017636244698,4.7391746516096e-08
