hour,bias_kw,mae_raw_kw,mae_corrected_kw
0,0,778.730856238146,432.080770835766
1,0,778.730856238146,432.080770835766
2,0,778.730856238146,432.080770835766
3,-0.000741506849315069,778.730856238146,432.080770835766
4,0.133474383561644,778.730856238146,432.080770835766
5,278.923806803653,778.730856238146,432.080770835766
6,711.279427351598,778.730856238146,432.080770835766
7,1029.76600114155,778.730856238146,432.080770835766
8,954.428539497717,778.730856238146,432.080770835766
9,695.042516392694,778.730856238146,432.080770835766
10,412.626993835616,778.730856238146,432.080770835766
11,56.8622217351599,778.730856238146,432.080770835766
12,-308.705899817352,778.730856238146,432.080770835766
13,-651.692818812785,778.730856238146,432.080770835766
14,-922.160627716895,778.730856238146,432.080770835766
15,-1086.17345287671,778.730856238146,432.080770835766
16,-1061.02887438356,778.730856238146,432.080770835766
17,-585.346685068493,778.730856238146,432.080770835766
18,-170.85808826484,778.730856238146,432.080770835766
19,-0.194204520547945,778.730856238146,432.080770835766
20,-0.000740182648401827,778.730856238146,432.080770835766
21,0,778.730856238146,432.080770835766
22,0,778.730856238146,432.080770835766
23,0,778.730856238146,432.080770835766
