date,plan_kwh,adj_kwh,cost_plan,cost_adj,em_kwh,cost_em,Eend_mean
2025-02-01,45806.4748316187,40049.8283165,20884.1601661613,3540.09756888478,3849.90956666667,17429.6985365008,5036.51696455461
2025-02-02,92661.9080391632,84155.7089888642,51537.3815112594,3755.49619390609,6100.52625966667,30808.5367903457,6364.39188049225
2025-02-03,96289.5568664266,85370.8209178669,53186.4063662672,2639.54213943259,5997.0712032596,30003.6476087067,6376.56415487553
2025-02-04,97501.7763644033,86846.5577279588,54327.3619574428,2589.87896562891,5366.83996041667,26621.9847716049,6409.32913417868
2025-02-05,92944.9346924212,86769.4885722932,52664.5375722059,4180.94721493699,5137.94955788889,25421.1726201489,6469.47821668553
2025-02-06,98996.0022504115,86376.4161010305,53823.0328799797,3236.79358380192,5159.63157566667,25789.4028020867,6417.77117870199
2025-02-07,47416.5517220165,39630.4243509259,21474.632358635,2172.40997882761,2896.84203375,13745.8978139192,5294.04803592593
2025-02-08,42549.6000165295,37197.9330568583,18931.7537477193,3899.3581349309,3623.58838333333,15987.3217556964,5000.9207190057
2025-02-09,94150.2083376543,87637.9640465864,53523.1406305374,4294.73744486533,3258.61256766666,15869.0494526152,6576.99818292631
2025-02-10,89822.6461666667,79713.5927373611,48351.4747122876,4435.93431849076,6520.33634436111,34391.2489225528,6218.47411011822
2025-02-11,91003.4039907366,79475.6843084996,49140.3948543536,2915.2903985247,7142.91068333334,37182.857217275,6279.52441791045
2025-02-12,90847.3294779493,79703.4451520724,49414.6955313827,2932.26862633762,6833.73041583334,35762.9252486179,6243.31932404192
2025-02-13,85706.3778056111,77314.0705524348,46101.4902275198,4682.15050687328,6399.399626,33385.4264347203,6260.81661315008
2025-02-14,42386.7574248285,36451.7539128258,18816.3484541257,3469.96167234312,3417.30954933333,14796.7011548777,4962.01034081876
2025-02-15,42573.9282007544,34793.6811820329,19196.8597332133,2236.09010146849,3513.23990833333,15099.6975987264,4727.96099617627
2025-02-16,92146.3567302126,79255.9836692668,49026.8025758603,3364.12009271706,6571.22212333333,33637.51780561,6173.96027524391
2025-02-17,91694.3203390946,76639.0812996914,47028.0478879832,3899.61267537209,5576.54062661111,29409.8717271528,6294.16230072745
2025-02-18,83184.3353383745,78197.1050455634,46102.2800806813,5026.98316708558,5105.65826941667,26775.9959249901,6246.80839803177
2025-02-19,83975.6263632031,78339.0430079794,46685.5976519101,4598.11070801863,6755.7879285,35386.7333636083,6244.30451774541
2025-02-20,85651.8317010504,76388.8386658117,46046.2885045486,3808.121511432,6430.17169241667,33790.6834953083,6246.8354476039
2025-02-21,40441.1463263374,33451.6044584208,18022.4478899282,2155.8036637715,3235.56745555556,13943.4273207458,4932.32712150977
2025-02-22,41333.9264162209,33434.3720949462,18290.8997428737,2271.48420424103,3368.46316666667,14480.3406874141,4719.61830333976
2025-02-23,85688.3142589979,76224.5757542866,46737.1438008041,2284.0850516079,6322.13965152778,33269.6687752278,6254.17149778464
2025-02-24,82064.6111177298,75691.6418187929,45582.2919799734,3599.70542665914,4916.55358911111,26188.2080206944,6233.41777263117
