单品编码,单品名称,补货量kg,售价元每kg,单位利润
102900011022764,长线茄,8.46312617114303,16,8.53532571428572
102900005115250,西峡花菇(1),5.08773913043478,24,6.7152
102900005116714,西兰花,13.828298211996,15.2,6.65118542857143
102900011031100,小米椒(份),18.1236762332145,8.9,6.56288785714286
102900005115946,木耳菜,4.38836678109141,10,6.54418171428571
102900005115786,竹叶菜,13.4881044031466,8,5.36563914285714
102900005119975,红薯尖,6.60614480728051,8.8,5.32591342857143
102900005116899,净藕(1),7.29701527700325,16,4.65897314285714
102900011032022,小皱皮(份),8.52790165836643,5.8,4.11165142857143
102900011000328,螺丝椒,6.46631127492042,12,3.719186
102900051000944,洪湖藕带,4.73983028365631,26,3.671
102900005116257,紫茄子(2),14.2545087209302,7.2,3.22540557142857
102900011023464,小青菜(1),6.7566917562724,6,2.877661
102900005115823,上海青,5.0430636411059,7.55555555555556,2.83940484126984
102900011035078,红椒(2),2.55675548673104,16.8389732558399,2.72562982726852
102900005115779,云南生菜,4.35144444444444,9.2,2.586955
102900005115762,苋菜,6.45422837334437,5.2,2.44525657142857
106949711300259,金针菇(盒),27.7850466743829,3.85116279069767,2.39176779069767
102900011032251,螺丝椒(份),11.8273197487105,5.9,2.31382257142857
102900011008164,奶白菜,8.67675650118203,5.06666666666667,2.14189066666667
102900011032848,姜蒜小米椒组合装(小份),7.27883574665577,4.8,2.13303457142857
102900011034330,双孢菇(盒),14.5844537512757,5.5,2.09033714285714
102900011034026,枝江青梗散花,7.31569594271819,12.4318256309406,2.07755903094064
102900005118831,娃娃菜,11.7657734332753,6.8,1.951232
102900011030059,云南生菜(份),43.7821241009601,5.73333333333334,1.78916347619048
102900005116509,青茄子(1),3.17770384615385,6,1.75909614285714
102900011016701,芜湖青椒(1),14.9503214285714,5.2,1.62281
102900011030110,菠菜(份),15.3317356443393,5.99,1.5055586
102900011030097,云南油麦菜(份),25.4225500203208,4.448,1.31361214285714
106971533450003,海鲜菇(包),13.2589310617553,3,1.04571428571429
