prod_code,prod_name,class_code,class_name,loss
102900005115168,牛首生菜,1011010101,花叶类,0.0439
102900005115199,四川红香椿,1011010101,花叶类,0.1046
102900005115625,本地小毛白菜,1011010101,花叶类,0.0018
102900005115748,白菜苔,1011010101,花叶类,0.0878
102900005115762,苋菜,1011010101,花叶类,0.1852
102900005115779,云南生菜,1011010101,花叶类,0.1525
102900005115786,竹叶菜,1011010101,花叶类,0.1362
102900005115793,小白菜,1011010101,花叶类,0.0759
102900005115816,南瓜尖,1011010101,花叶类,0.1346
102900005115823,上海青,1011010101,花叶类,0.1443
102900005115854,萝卜叶,1011010101,花叶类,0.0535
102900005115861,牛首油菜,1011010101,花叶类,0.1217
102900005115878,茼蒿,1011010101,花叶类,0.0627
102900005115885,蔡甸藜蒿,1011010101,花叶类,0.0047
102900005115908,菜心,1011010101,花叶类,0.137
102900005115946,木耳菜,1011010101,花叶类,0.0761
102900005115960,大白菜,1011010101,花叶类,0.2227
102900005115977,豌豆尖,1011010101,花叶类,0.0836
102900005115984,云南油麦菜,1011010101,花叶类,0.1281
102900005116639,马齿苋,1011010101,花叶类,0.1178
102900005116776,本地菠菜,1011010101,花叶类,0.1046
102900005116790,黄心菜(1),1011010101,花叶类,0.1064
102900005116806,黑油菜,1011010101,花叶类,0.001
102900005118572,本地上海青,1011010101,花叶类,0.1199
102900005118817,菠菜,1011010101,花叶类,0.1851
102900005118831,娃娃菜,1011010101,花叶类,0.0248
102900005119975,红薯尖,1011010101,花叶类,0.0842
102900005122654,枝江红菜苔,1011010101,花叶类,0.1138
102900005128748,黄花菜,1011010101,花叶类,0.1689
102900011000175,快菜,1011010101,花叶类,0.2038
102900011000571,随州泡泡青,1011010101,花叶类,0.122
102900011002414,田七,1011010101,花叶类,0.1695
102900011006689,东门口小白菜,1011010101,花叶类,0.2784
102900011006948,外地茼蒿,1011010101,花叶类,0.2616
102900011006955,冰草,1011010101,花叶类,0.1501
102900011007464,紫苏,1011010101,花叶类,0.1288
102900011007471,薄荷叶,1011010101,花叶类,0.1328
102900011007495,蒲公英,1011010101,花叶类,0.1592
102900011008133,丝瓜尖,1011010101,花叶类,0.1598
102900011008164,奶白菜,1011010101,花叶类,0.1568
102900011008485,芥菜,1011010101,花叶类,0.1375
102900011008492,大芥兰,1011010101,花叶类,0.0469
102900011008515,面条菜,1011010101,花叶类,0.128
102900011008522,甜白菜,1011010101,花叶类,0.0943
102900011008676,荠菜,1011010101,花叶类,0.1156
102900011015384,马兰头,1011010101,花叶类,0.1516
102900011015391,甘蓝叶,1011010101,花叶类,0.1158
102900011021644,洪山菜苔,1011010101,花叶类,0.0934
102900011022849,本地黄心油菜,1011010101,花叶类,0.0673
102900011022924,青菜苔,1011010101,花叶类,0.1094
102900011023464,小青菜(1),1011010101,花叶类,0.1033
102900011026502,鲜粽子叶,1011010101,花叶类,0.1094
102900011026618,艾蒿,1011010101,花叶类,0.0927
102900011027462,奶白菜苗,1011010101,花叶类,0.1094
102900011027615,菊花油菜,1011010101,花叶类,0.0343
102900011029688,双沟白菜,1011010101,花叶类,0.1075
102900011030042,枝江红菜苔(份),1011010101,花叶类,0.0943
102900011030059,云南生菜(份),1011010101,花叶类,0.0943
102900011030097,云南油麦菜(份),1011010101,花叶类,0.0943
102900011030103,茼蒿(份),1011010101,花叶类,0.0943
102900011030110,菠菜(份),1011010101,花叶类,0.0943
102900011030134,菜心(份),1011010101,花叶类,0.0943
102900011030141,上海青(份),1011010101,花叶类,0.0943
102900011030158,小青菜(2),1011010101,花叶类,0.0943
102900011030400,洪山菜薹珍品手提袋,1011010101,花叶类,0
102900011030417,洪山菜薹莲藕拼装礼盒,1011010101,花叶类,0
102900011030905,鱼腥草(份),1011010101,花叶类,0.0943
102900011031216,冰草(盒),1011010101,花叶类,0.1034
102900011032176,紫苏(份),1011010101,花叶类,0.0943
102900011032282,襄甜红菜苔(袋),1011010101,花叶类,0
102900011032480,白蒿,1011010101,花叶类,0
102900011032589,鱼腥草,1011010101,花叶类,0.0943
102900011032787,竹叶菜(份),1011010101,花叶类,0.0943
102900011033081,春菜,1011010101,花叶类,0.2903
102900011033173,槐花,1011010101,花叶类,0.168
102900011033234,红薯尖(份),1011010101,花叶类,0.0943
102900011033241,蔡甸藜蒿(份),1011010101,花叶类,0.0943
102900011033531,红珊瑚(粗叶),1011010101,花叶类,0.0943
102900011033562,红橡叶,1011010101,花叶类,0.0943
102900011033586,绿牛油,1011010101,花叶类,0.0943
102900011033906,保康高山大白菜,1011010101,花叶类,0.0943
102900011033920,黄心菜(2),1011010101,花叶类,0.0943
102900011034200,苋菜(份),1011010101,花叶类,0.0943
102900011034217,小白菜(份),1011010101,花叶类,0.0943
102900011034224,小青菜(份),1011010101,花叶类,0.0943
102900011034231,奶白菜(份),1011010101,花叶类,0.0943
102900011034316,芝麻苋菜,1011010101,花叶类,0
102900011034323,鲜粽叶,1011010101,花叶类,0
102900011034354,鲜粽叶(袋)(1),1011010101,花叶类,0
102900011035481,外地茼蒿(份),1011010101,花叶类,0.0943
102900011035764,龙牙菜,1011010101,花叶类,0.0943
102900011035771,黄白菜(1),1011010101,花叶类,0.0943
102900011035849,大白菜秧,1011010101,花叶类,0
102900011036686,木耳菜(份),1011010101,花叶类,0.0943
102900051000890,芥兰,1011010101,花叶类,0.0943
102900051009220,油菜苔,1011010101,花叶类,0.1094
102900051010455,黄白菜(2),1011010101,花叶类,0.1561
102900051010790,紫贝菜,1011010101,花叶类,0.1958
106971563780002,鲜粽叶(袋)(2),1011010101,花叶类,0
106972776821582,鲜粽叶(袋)(3),1011010101,花叶类,0.0943
102900005116714,西兰花,1011010201,花菜类,0.0926
102900011000632,紫白菜(1),1011010201,花菜类,0.2553
102900011009970,青梗散花,1011010201,花菜类,0.1706
102900011033913,紫白菜(2),1011010201,花菜类,0.0943
102900011034026,枝江青梗散花,1011010201,花菜类,0.0943
102900005116042,藕,1011010402,水生根茎类,0.1532
102900005116899,净藕(1),1011010402,水生根茎类,0.0554
102900005118824,高瓜(1),1011010402,水生根茎类,0.2925
102900011001561,莲蓬(个),1011010402,水生根茎类,0.1217
102900011001691,菱角,1011010402,水生根茎类,0.0961
102900011007969,红莲藕带,1011010402,水生根茎类,0.1663
102900011009277,荸荠,1011010402,水生根茎类,0.1102
102900011010891,野藕(1),1011010402,水生根茎类,0.0797
102900011018132,野生粉藕,1011010402,水生根茎类,0.1269
102900011021842,洪湖莲藕(粉藕),1011010402,水生根茎类,0.1181
102900011023976,净藕(2),1011010402,水生根茎类,0.1162
102900011024010,鲜藕带(袋),1011010402,水生根茎类,0.1269
102900011032114,荸荠(份),1011010402,水生根茎类,0.0943
102900011032732,高瓜(2),1011010402,水生根茎类,0.0943
102900011034569,洪湖莲藕(脆藕),1011010402,水生根茎类,0.0943
102900011035511,净藕(3),1011010402,水生根茎类,0.0943
102900011035962,野藕(2),1011010402,水生根茎类,0.0943
102900051000944,洪湖藕带,1011010402,水生根茎类,0.2405
102900051006229,藕尖,1011010402,水生根茎类,0
102900005116257,紫茄子(2),1011010501,茄类,0.0607
102900005116509,青茄子(1),1011010501,茄类,0.0501
102900011000335,紫圆茄,1011010501,茄类,0.0032
102900011009444,大龙茄子,1011010501,茄类,0.1094
102900011016909,花茄子,1011010501,茄类,0.0698
102900011022764,长线茄,1011010501,茄类,0.069
102900011033975,青茄子(2),1011010501,茄类,0.0943
102900011033982,紫茄子(1),1011010501,茄类,0.0943
102900011033999,圆茄子(1),1011010501,茄类,0.0943
102900051000463,圆茄子(2),1011010501,茄类,0.0671
102900005116219,红尖椒,1011010504,辣椒类,0.0673
102900005116226,青尖椒,1011010504,辣椒类,0.0672
102900005116233,红椒(1),1011010504,辣椒类,0.1176
102900005116905,青杭椒(1),1011010504,辣椒类,0
102900005116943,红杭椒,1011010504,辣椒类,0.0999
102900005117056,泡泡椒(精品),1011010504,辣椒类,0.0708
102900005117209,七彩椒(1),1011010504,辣椒类,0.1598
102900005119968,青杭椒(2),1011010504,辣椒类,0.09
102900005123880,灯笼椒(1),1011010504,辣椒类,0.1633
102900005125808,小米椒,1011010504,辣椒类,0.0586
102900011000328,螺丝椒,1011010504,辣椒类,0.1018
102900011000861,红线椒,1011010504,辣椒类,0.0771
102900011001219,红灯笼椒(1),1011010504,辣椒类,0.0893
102900011009772,水果辣椒(橙色),1011010504,辣椒类,0.0943
102900011016701,芜湖青椒(1),1011010504,辣椒类,0.057
102900011022030,组合椒系列,1011010504,辣椒类,0.0943
102900011023648,芜湖青椒(2),1011010504,辣椒类,0.0878
102900011027479,小皱皮,1011010504,辣椒类,0.0871
102900011028407,余干椒,1011010504,辣椒类,0.0943
102900011029176,辣妹子,1011010504,辣椒类,0
102900011029275,紫尖椒,1011010504,辣椒类,0.0943
102900011029299,紫螺丝椒,1011010504,辣椒类,0
102900011029305,水果辣椒,1011010504,辣椒类,0.0018
102900011031100,小米椒(份),1011010504,辣椒类,0.0943
102900011031582,青尖椒(份),1011010504,辣椒类,0.0943
102900011031735,七彩椒(份),1011010504,辣椒类,0.0943
102900011031742,灯笼椒(份),1011010504,辣椒类,0.0943
102900011031759,红灯笼椒(份),1011010504,辣椒类,0.0943
102900011032022,小皱皮(份),1011010504,辣椒类,0.0943
102900011032145,芜湖青椒(份),1011010504,辣椒类,0.0943
102900011032206,青杭椒(份),1011010504,辣椒类,0.0943
102900011032213,红杭椒(份),1011010504,辣椒类,0.0943
102900011032220,水果辣椒(份),1011010504,辣椒类,0.0943
102900011032237,青线椒(份),1011010504,辣椒类,0.0943
102900011032244,红尖椒(份),1011010504,辣椒类,0.0943
102900011032251,螺丝椒(份),1011010504,辣椒类,0.0943
102900011032343,七彩椒(2),1011010504,辣椒类,0.0943
102900011032350,灯笼椒(2),1011010504,辣椒类,0.0943
102900011032367,红灯笼椒(2),1011010504,辣椒类,0.0943
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,0.0943
102900011034262,红椒(份),1011010504,辣椒类,0.0943
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,0.0943
