hour,q3_wankwh,q3_pct,q2_wankwh,q2_pct
0,0,0,0,0
1,0,0,0.0113056656791666,0.0123702938786147
2,0,0,0.147384521320833,0.161263378348197
3,0,0,0.241569792275,0.264317856855108
4,1.02150855122222,0.84696687311004,0.213092425416667,0.233158842700298
5,7.16642159450295,5.94191960705771,0.183017381041667,0.200251701459009
6,19.8938466024889,16.4946529628956,1.5720549346875,1.7200916856445
7,20.3138388248752,16.8428825483449,2.733684459175,2.99110915633316
8,42.3152916350787,35.0850222428587,9.36113335381141,10.2426494741428
9,23.4875896587425,19.4743454142942,12.4753124833625,13.650083597565
10,6.40935494567222,5.31421035143879,4.65185039346429,5.08990430811544
11,0,0,0.0529204466666667,0.0579038418463548
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0.347278374085493,0.379980769557104
16,0,0,0.695934494716667,0.76146902484251
17,0,0,0.650359727083333,0.711602587511641
18,0,0,1.70651735058344,1.86721611400314
19,7.5791225147744e-17,6.28410373028773e-17,17.0764437839733,18.6844927140076
20,1.97057185384134e-16,1.63386696987481e-16,36.2782512392469,39.694489645017
21,0,0,2.9459016315,3.22331032539713
22,0,0,0.00471666783750002,0.00516082545985797
23,0,0,0.0449417933333333,0.0491738573156077
