date_str,day_idx,slot,plan_kwh,final_kwh,em_kwh,load_kw,pv_kw
2025-03-20,79,1,536.769033611111,536.769033611111,0,3410.51,0
2025-03-20,79,2,959.64973892352,959.64973892352,0,3299.0689,0
2025-03-20,79,3,1390.65318777778,1390.65318777778,0,3421.881,0
2025-03-20,79,4,571.042783611111,571.042783611111,0,3683.11,0
2025-03-20,79,5,576.052333611111,576.052333611111,0,3476.737,0
2025-03-20,79,6,577.515066944444,577.515066944444,0,3302.6695,0
2025-03-20,79,7,579.976212152778,579.976212152778,0,3426.94,0
2025-03-20,79,8,604.389770486111,604.389770486111,0,3609.5343,0
2025-03-20,79,9,584.770578819444,584.770578819444,0,3668.9025,0
2025-03-20,79,10,545.042045486111,545.042045486111,0,3589.3,0
2025-03-20,79,11,565.017682986111,565.017682986111,0,3503.6157,0
2025-03-20,79,12,568.662120486111,568.662120486111,0,3545.9703,0
2025-03-20,79,13,523.925395520833,523.925395520833,0,3590.66,0
2025-03-20,79,14,506.614341354167,506.614341354167,0,3395.9017,0
2025-03-20,79,15,534.115916354167,534.115916354167,0,3276.7246,0
2025-03-20,79,16,573.575395520833,573.575395520833,0,3394.28,0
2025-03-20,79,17,564.601145520833,564.601145520833,0,3587.5594,0
2025-03-20,79,18,530.9044496875,530.9044496875,0,3605.7268,0
2025-03-20,79,19,506.643821944444,506.643821944444,0,3522.79,0
2025-03-20,79,20,527.859096944444,527.859096944444,0,3631.2618,0
2025-03-20,79,21,536.986026111111,536.986026111111,0,3731.3543,0
2025-03-20,79,22,534.451738611111,534.451738611111,0,3721.01,0
2025-03-20,79,23,565.207271944444,565.207271944444,0,3699.7385,0
2025-03-20,79,24,584.279642777778,584.279642777778,0,3674.7825,0
2025-03-20,79,25,580.985010868055,580.985010868055,0,3623.58,0
2025-03-20,79,26,595.086144201389,595.086144201389,0,3538.7697,0.0019
2025-03-20,79,27,578.635085868056,578.635085868056,0,3488.7843,0
2025-03-20,79,28,556.020844201389,556.020844201389,0,3513.51,0
2025-03-20,79,29,600.435685868056,600.435685868056,0,3598.3779,0.0271
2025-03-20,79,30,628.068952534722,628.068952534722,0,3700.4359,0
2025-03-20,79,31,607.995246875,607.995246875,0,3753.57,0
2025-03-20,79,32,578.055920486111,578.055920486111,0,3716.9811,0.3776
2025-03-20,79,33,552.915123263889,552.915123263889,0,3707.0664,0
2025-03-20,79,34,524.744896875,524.744896875,0,3642.69,0
2025-03-20,79,35,1341.69623298611,1341.69623298611,0,3457.8398,5.2594
2025-03-20,79,36,570.040956597222,570.040956597222,0,4028.7787,0
2025-03-20,79,37,0,0,0,4962.09,0
2025-03-20,79,38,0,0,0,4905.1198,153.4202
2025-03-20,79,39,0,0,0,4660.8239,401.044
2025-03-20,79,40,0,0,0,4703.75,675.525
2025-03-20,79,41,0,0,0,4726.9008,952.6316
2025-03-20,79,42,0,0,0,4819.4733,1302.5378
2025-03-20,79,43,0,259.368138290273,0,4880.33,1693.2375
2025-03-20,79,44,0,373.214862048611,0,4689.3761,2009.9231
2025-03-20,79,45,0,305.738574548611,0,4713.3646,2305.9149
2025-03-20,79,46,0,257.408574548611,0,4827.2,2609.7375
2025-03-20,79,47,189.363320833333,205.255299548611,0,4578.156,2894.0148
2025-03-20,79,48,0,0,0,5187.0368,3179.5684
2025-03-20,79,49,0,0,0,6405.59,3476.5125
2025-03-20,79,50,0,0,0,6658.0486,3761.2255
2025-03-20,79,51,0,0,0,6606.6001,3976.3717
2025-03-20,79,52,0,0,0,6687.27,4220.325
2025-03-20,79,53,0,0,0,6649.776,4653.7429
2025-03-20,79,54,0,0,208.05488873611,6705.5335,5037.5027
2025-03-20,79,55,0,0,262.820416666667,6757.81,5180.8875
2025-03-20,79,56,0,0,221.283766666667,6494.2004,5166.4978
2025-03-20,79,57,0,0,150.518366666667,6436.4392,5533.329
2025-03-20,79,58,0,0,77.1854166666667,6570.85,6107.7375
2025-03-20,79,59,0,0,36.09475,6399.3635,6182.795
2025-03-20,79,60,0,0,41.2573499999999,6445.9301,6198.386
2025-03-20,79,61,0,0,45.2070833333334,6697.43,6426.1875
2025-03-20,79,62,0,0,0,6577.9956,6675.2481
2025-03-20,79,63,0,0,0,6445.2772,6774.004
2025-03-20,79,64,0,0,0,6473.61,6879.075
2025-03-20,79,65,0,0,0,6454.2353,7268.5137
2025-03-20,79,66,0,0,0,6352.336,7455.3554
2025-03-20,79,67,0,0,0,6279.9,7263
2025-03-20,79,68,682.525213715278,0,0,6362.0436,7021.6679
2025-03-20,79,69,-0,0,0,6393.8373,7052.8842
2025-03-20,79,70,612.837260376883,0,0,6360.1,7317.5625
2025-03-20,79,71,894.845905381944,61.5125720486111,0,6424.0276,7505.6333
2025-03-20,79,72,862.259759548611,28.9264262152775,0,6379.6216,7635.0323
2025-03-20,79,73,817.045954756945,413.453238090278,0,6168.32,7818.45
2025-03-20,79,74,744.344696423611,486.407596423611,0,5958.8116,8082.9395
